# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
1 1 10 3594.20999962 963.06566683 -3550.00000000 0.96592583 0.25881905 0.00000000 0 1
1 2 10 2631.14433280 2631.14433280 -3550.00000000 0.70710678 0.70710678 0.00000000 0 1
1 3 10 963.06566683 3594.20999962 -3550.00000000 0.25881905 0.96592583 0.00000000 0 1
1 4 10 -963.06566683 3594.20999962 -3550.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 5 10 -2631.14433280 2631.14433280 -3550.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 6 10 -3594.20999962 963.06566683 -3550.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 7 10 -3594.20999962 -963.06566683 -3550.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 8 10 -2631.14433280 -2631.14433280 -3550.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 9 10 -963.06566683 -3594.20999962 -3550.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 10 10 963.06566683 -3594.20999962 -3550.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 11 10 2631.14433280 -2631.14433280 -3550.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 12 10 3594.20999962 -963.06566683 -3550.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 13 10 3744.32504578 402.82868758 -3195.00000000 0.96592583 0.25881905 0.00000000 0 1
1 14 10 3444.09495346 1523.30264607 -3195.00000000 0.96592583 0.25881905 0.00000000 0 1
1 15 10 3041.26626588 2221.02239971 -3195.00000000 0.70710678 0.70710678 0.00000000 0 1
1 16 10 2221.02239971 3041.26626588 -3195.00000000 0.70710678 0.70710678 0.00000000 0 1
1 17 10 1523.30264607 3444.09495346 -3195.00000000 0.25881905 0.96592583 0.00000000 0 1
1 18 10 402.82868758 3744.32504578 -3195.00000000 0.25881905 0.96592583 0.00000000 0 1
1 19 10 -402.82868758 3744.32504578 -3195.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 20 10 -1523.30264607 3444.09495346 -3195.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 21 10 -2221.02239971 3041.26626588 -3195.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 22 10 -3041.26626588 2221.02239971 -3195.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 23 10 -3444.09495346 1523.30264607 -3195.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 24 10 -3744.32504578 402.82868758 -3195.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 25 10 -3744.32504578 -402.82868758 -3195.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 26 10 -3444.09495346 -1523.30264607 -3195.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 27 10 -3041.26626588 -2221.02239971 -3195.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 28 10 -2221.02239971 -3041.26626588 -3195.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 29 10 -1523.30264607 -3444.09495346 -3195.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 30 10 -402.82868758 -3744.32504578 -3195.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 31 10 402.82868758 -3744.32504578 -3195.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 32 10 1523.30264607 -3444.09495346 -3195.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 33 10 2221.02239971 -3041.26626588 -3195.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 34 10 3041.26626588 -2221.02239971 -3195.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 35 10 3444.09495346 -1523.30264607 -3195.00000000 0.96592583 -0.25881905 0.00000000 0 1
