PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 1 0 3502.1 452.933 -2777.25 -0.965926 -0.258819 0 0 1
1 2 0 3259.38 1358.8 -2777.25 -0.965926 -0.258819 0 0 1
1 3 0 2806.44 2143.3 -2777.25 -0.707107 -0.707107 0 0 1
1 4 0 2143.3 2806.44 -2777.25 -0.707107 -0.707107 0 0 1
1 5 0 1358.8 3259.38 -2777.25 -0.258819 -0.965926 0 0 1
1 6 0 452.933 3502.1 -2777.25 -0.258819 -0.965926 0 0 1
1 7 0 -452.933 3502.1 -2777.25 0.258819 -0.965926 0 0 1
1 8 0 -1358.8 3259.38 -2777.25 0.258819 -0.965926 0 0 1
1 9 0 -2143.3 2806.44 -2777.25 0.707107 -0.707107 0 0 1
1 10 0 -2806.44 2143.3 -2777.25 0.707107 -0.707107 0 0 1
1 11 0 -3259.38 1358.8 -2777.25 0.965926 -0.258819 0 0 1
1 12 0 -3502.1 452.933 -2777.25 0.965926 -0.258819 0 0 1
1 13 0 -3502.1 -452.933 -2777.25 0.965926 0.258819 0 0 1
1 14 0 -3259.38 -1358.8 -2777.25 0.965926 0.258819 0 0 1
1 15 0 -2806.44 -2143.3 -2777.25 0.707107 0.707107 0 0 1
1 16 0 -2143.3 -2806.44 -2777.25 0.707107 0.707107 0 0 1
1 17 0 -1358.8 -3259.38 -2777.25 0.258819 0.965926 0 0 1
1 18 0 -452.933 -3502.1 -2777.25 0.258819 0.965926 0 0 1
1 19 0 452.933 -3502.1 -2777.25 -0.258819 0.965926 0 0 1
1 20 0 1358.8 -3259.38 -2777.25 -0.258819 0.965926 0 0 1
1 21 0 2143.3 -2806.44 -2777.25 -0.707107 0.707107 0 0 1
1 22 0 2806.44 -2143.3 -2777.25 -0.707107 0.707107 0 0 1
1 23 0 3259.38 -1358.8 -2777.25 -0.965926 0.258819 0 0 1
1 24 0 3502.1 -452.933 -2777.25 -0.965926 0.258819 0 0 1
1 25 0 3502.1 452.933 -2160.08 -0.965926 -0.258819 0 0 1
1 26 0 3259.38 1358.8 -2160.08 -0.965926 -0.258819 0 0 1
1 27 0 2806.44 2143.3 -2160.08 -0.707107 -0.707107 0 0 1
1 28 0 2143.3 2806.44 -2160.08 -0.707107 -0.707107 0 0 1
1 29 0 1358.8 3259.38 -2160.08 -0.258819 -0.965926 0 0 1
1 30 0 452.933 3502.1 -2160.08 -0.258819 -0.965926 0 0 1
1 31 0 -452.933 3502.1 -2160.08 0.258819 -0.965926 0 0 1
1 32 0 -1358.8 3259.38 -2160.08 0.258819 -0.965926 0 0 1
1 33 0 -2143.3 2806.44 -2160.08 0.707107 -0.707107 0 0 1
1 34 0 -2806.44 2143.3 -2160.08 0.707107 -0.707107 0 0 1
1 35 0 -3259.38 1358.8 -2160.08 0.965926 -0.258819 0 0 1
1 36 0 -3502.1 452.933 -2160.08 0.965926 -0.258819 0 0 1
1 37 0 -3502.1 -452.933 -2160.08 0.965926 0.258819 0 0 1
1 38 0 -3259.38 -1358.8 -2160.08 0.965926 0.258819 0 0 1
1 39 0 -2806.44 -2143.3 -2160.08 0.707107 0.707107 0 0 1
1 40 0 -2143.3 -2806.44 -2160.08 0.707107 0.707107 0 0 1
1 41 0 -1358.8 -3259.38 -2160.08 0.258819 0.965926 0 0 1
1 42 0 -452.933 -3502.1 -2160.08 0.258819 0.965926 0 0 1
1 43 0 452.933 -3502.1 -2160.08 -0.258819 0.965926 0 0 1
1 44 0 1358.8 -3259.38 -2160.08 -0.258819 0.965926 0 0 1
1 45 0 2143.3 -2806.44 -2160.08 -0.707107 0.707107 0 0 1
1 46 0 2806.44 -2143.3 -2160.08 -0.707107 0.707107 0 0 1
1 47 0 3259.38 -1358.8 -2160.08 -0.965926 0.258819 0 0 1
1 48 0 3502.1 -452.933 -2160.08 -0.965926 0.258819 0 0 1
1 49 0 3502.1 452.933 -1542.92 -0.965926 -0.258819 0 0 1
1 50 0 3259.38 1358.8 -1542.92 -0.965926 -0.258819 0 0 1
1 51 0 2806.44 2143.3 -1542.92 -0.707107 -0.707107 0 0 1
1 52 0 2143.3 2806.44 -1542.92 -0.707107 -0.707107 0 0 1
1 53 0 1358.8 3259.38 -1542.92 -0.258819 -0.965926 0 0 1
1 54 0 452.933 3502.1 -1542.92 -0.258819 -0.965926 0 0 1
1 55 0 -452.933 3502.1 -1542.92 0.258819 -0.965926 0 0 1
1 56 0 -1358.8 3259.38 -1542.92 0.258819 -0.965926 0 0 1
1 57 0 -2143.3 2806.44 -1542.92 0.707107 -0.707107 0 0 1
1 58 0 -2806.44 2143.3 -1542.92 0.707107 -0.707107 0 0 1
1 59 0 -3259.38 1358.8 -1542.92 0.965926 -0.258819 0 0 1
1 60 0 -3502.1 452.933 -1542.92 0.965926 -0.258819 0 0 1
1 61 0 -3502.1 -452.933 -1542.92 0.965926 0.258819 0 0 1
1 62 0 -3259.38 -1358.8 -1542.92 0.965926 0.258819 0 0 1
1 63 0 -2806.44 -2143.3 -1542.92 0.707107 0.707107 0 0 1
1 64 0 -2143.3 -2806.44 -1542.92 0.707107 0.707107 0 0 1
1 65 0 -1358.8 -3259.38 -1542.92 0.258819 0.965926 0 0 1
1 66 0 -452.933 -3502.1 -1542.92 0.258819 0.965926 0 0 1
1 67 0 452.933 -3502.1 -1542.92 -0.258819 0.965926 0 0 1
1 68 0 1358.8 -3259.38 -1542.92 -0.258819 0.965926 0 0 1
1 69 0 2143.3 -2806.44 -1542.92 -0.707107 0.707107 0 0 1
1 70 0 2806.44 -2143.3 -1542.92 -0.707107 0.707107 0 0 1
1 71 0 3259.38 -1358.8 -1542.92 -0.965926 0.258819 0 0 1
1 72 0 3502.1 -452.933 -1542.92 -0.965926 0.258819 0 0 1
1 73 0 3502.1 452.933 -925.75 -0.965926 -0.258819 0 0 1
1 74 0 3259.38 1358.8 -925.75 -0.965926 -0.258819 0 0 1
1 75 0 2806.44 2143.3 -925.75 -0.707107 -0.707107 0 0 1
1 76 0 2143.3 2806.44 -925.75 -0.707107 -0.707107 0 0 1
1 77 0 1358.8 3259.38 -925.75 -0.258819 -0.965926 0 0 1
1 78 0 452.933 3502.1 -925.75 -0.258819 -0.965926 0 0 1
1 79 0 -452.933 3502.1 -925.75 0.258819 -0.965926 0 0 1
1 80 0 -1358.8 3259.38 -925.75 0.258819 -0.965926 0 0 1
1 81 0 -2143.3 2806.44 -925.75 0.707107 -0.707107 0 0 1
1 82 0 -2806.44 2143.3 -925.75 0.707107 -0.707107 0 0 1
1 83 0 -3259.38 1358.8 -925.75 0.965926 -0.258819 0 0 1
1 84 0 -3502.1 452.933 -925.75 0.965926 -0.258819 0 0 1
1 85 0 -3502.1 -452.933 -925.75 0.965926 0.258819 0 0 1
1 86 0 -3259.38 -1358.8 -925.75 0.965926 0.258819 0 0 1
1 87 0 -2806.44 -2143.3 -925.75 0.707107 0.707107 0 0 1
1 88 0 -2143.3 -2806.44 -925.75 0.707107 0.707107 0 0 1
1 89 0 -1358.8 -3259.38 -925.75 0.258819 0.965926 0 0 1
1 90 0 -452.933 -3502.1 -925.75 0.258819 0.965926 0 0 1
1 91 0 452.933 -3502.1 -925.75 -0.258819 0.965926 0 0 1
1 92 0 1358.8 -3259.38 -925.75 -0.258819 0.965926 0 0 1
1 93 0 2143.3 -2806.44 -925.75 -0.707107 0.707107 0 0 1
1 94 0 2806.44 -2143.3 -925.75 -0.707107 0.707107 0 0 1
1 95 0 3259.38 -1358.8 -925.75 -0.965926 0.258819 0 0 1
1 96 0 3502.1 -452.933 -925.75 -0.965926 0.258819 0 0 1
1 97 0 3502.1 452.933 -308.583 -0.965926 -0.258819 0 0 1
1 98 0 3259.38 1358.8 -308.583 -0.965926 -0.258819 0 0 1
1 99 0 2806.44 2143.3 -308.583 -0.707107 -0.707107 0 0 1
1 100 0 2143.3 2806.44 -308.583 -0.707107 -0.707107 0 0 1
1 101 0 1358.8 3259.38 -308.583 -0.258819 -0.965926 0 0 1
1 102 0 452.933 3502.1 -308.583 -0.258819 -0.965926 0 0 1
1 103 0 -452.933 3502.1 -308.583 0.258819 -0.965926 0 0 1
1 104 0 -1358.8 3259.38 -308.583 0.258819 -0.965926 0 0 1
1 105 0 -2143.3 2806.44 -308.583 0.707107 -0.707107 0 0 1
1 106 0 -2806.44 2143.3 -308.583 0.707107 -0.707107 0 0 1
1 107 0 -3259.38 1358.8 -308.583 0.965926 -0.258819 0 0 1
