# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 1 0 3502.10000000 452.93300000 -2840.00000000 -0.965926 -0.258819 0.00000000 0 1
4 2 0 3259.38000000 1358.80000000 -2840.00000000 -0.965926 -0.258819 0.00000000 0 1
4 3 0 2806.44000000 2143.30000000 -2840.00000000 -0.707107 -0.707107 0.00000000 0 1
4 4 0 2143.30000000 2806.44000000 -2840.00000000 -0.707107 -0.707107 0.00000000 0 1
4 5 0 1358.80000000 3259.38000000 -2840.00000000 -0.258819 -0.965926 0.00000000 0 1
4 6 0 452.93300000 3502.10000000 -2840.00000000 -0.258819 -0.965926 0.00000000 0 1
4 7 0 -452.93300000 3502.10000000 -2840.00000000 0.258819 -0.965926 0.00000000 0 1
4 8 0 -1358.80000000 3259.38000000 -2840.00000000 0.258819 -0.965926 0.00000000 0 1
4 9 0 -2143.30000000 2806.44000000 -2840.00000000 0.707107 -0.707107 0.00000000 0 1
4 10 0 -2806.44000000 2143.30000000 -2840.00000000 0.707107 -0.707107 0.00000000 0 1
4 11 0 -3259.38000000 1358.80000000 -2840.00000000 0.965926 -0.258819 0.00000000 0 1
4 12 0 -3502.10000000 452.93300000 -2840.00000000 0.965926 -0.258819 0.00000000 0 1
4 13 0 -3502.10000000 -452.93300000 -2840.00000000 0.965926 0.258819 0.00000000 0 1
4 14 0 -3259.38000000 -1358.80000000 -2840.00000000 0.965926 0.258819 0.00000000 0 1
4 15 0 -2806.44000000 -2143.30000000 -2840.00000000 0.707107 0.707107 0.00000000 0 1
4 16 0 -2143.30000000 -2806.44000000 -2840.00000000 0.707107 0.707107 0.00000000 0 1
4 17 0 -1358.80000000 -3259.38000000 -2840.00000000 0.258819 0.965926 0.00000000 0 1
4 18 0 -452.93300000 -3502.10000000 -2840.00000000 0.258819 0.965926 0.00000000 0 1
4 19 0 452.93300000 -3502.10000000 -2840.00000000 -0.258819 0.965926 0.00000000 0 1
4 20 0 1358.80000000 -3259.38000000 -2840.00000000 -0.258819 0.965926 0.00000000 0 1
4 21 0 2143.30000000 -2806.44000000 -2840.00000000 -0.707107 0.707107 0.00000000 0 1
