PMT position table for custom PMT placement.
Meaning of each column is:
==================================================================================================
Type is used to specify which PMT to be placed:     1 = PMT1 (nominal),
                                                    2 = PMT2 in hybrid configuration,
                                                    3 = Ex-situ mPMT in WCTE,
                                                    4 = In-situ mPMT in WCTE 
==================================================================================================
mPMTId: custom ID to override the default numbering scheme
==================================================================================================
Section is: 0 = barrel, 
            1 = top cap, 
            2 = top border ring, 
            3 = bottom cap, 
            4 = bottom border ring
==================================================================================================
X, Y, Z: PMT positions in mm. Exact values to be tuned to detector geometry at runtime
==================================================================================================
DirX, DirY, DirZ: PMT direction, just for reference
==================================================================================================
Rotation: azimuthal rotation of the PMT module
==================================================================================================
Use: enable placement (1) or not (0)
==================================================================================================


==================================================================================================
Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX       DirY       DirZ   Rotation(deg)  Use
==================================================================================================

#DATASTART
3 0 1 0.000000000 0.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 1 1 0.000000000 580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
3 2 1 580.000000000 580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 3 1 580.000000000 0.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 4 1 580.000000000 -580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 5 1 0.000000000 -580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 6 1 -580.000000000 -580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 7 1 -580.000000000 0.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 8 1 -580.000000000 580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
3 9 1 0.000000000 1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 10 1 580.000000000 1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 11 1 1160.000000000 580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 12 1 1160.000000000 0.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 13 1 1160.000000000 -580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 14 1 580.000000000 -1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 15 1 0.000000000 -1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 16 1 -580.000000000 -1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 17 1 -1160.000000000 -580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 18 1 -1160.000000000 0.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 180 1
4 19 1 -1160.000000000 580.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 20 1 -580.000000000 1160.000000000 1530.237500000 0.000000000 0.000000000 -1.000000000 0 1
4 21 2 0.000000000 1596.268000000 1004.762500000 0.000000000 -1.000000000 0.000000000 -90 1
4 22 2 610.865317215 1474.759333603 1004.762500000 -0.382683432 -0.923879533 0.000000000 -90 1
