PMT position table for custom PMT placement. The direction is just for reference and is not used.
We will need a PMT_id later to identity which PMT is which.
X(cm)           Y(cm)          Z(cm)        DirX        DirY            DirZ      Use

#DATASTART
1606.050886330 319.463383930 -267.375000000 -0.980785280 -0.195090322 0.000000000 1
1361.544197770 909.754747530 -267.375000000 -0.831469612 -0.555570233 0.000000000 1
909.754747530 1361.544197770 -267.375000000 -0.555570233 -0.831469612 0.000000000 1
319.463383930 1606.050886330 -267.375000000 -0.195090322 -0.980785280 0.000000000 1
-319.463383930 1606.050886330 -267.375000000 0.195090322 -0.980785280 0.000000000 1
-909.754747530 1361.544197770 -267.375000000 0.555570233 -0.831469612 0.000000000 1
-1361.544197770 909.754747530 -267.375000000 0.831469612 -0.555570233 0.000000000 1
-1606.050886330 319.463383930 -267.375000000 0.980785280 -0.195090322 0.000000000 1
-1606.050886330 -319.463383930 -267.375000000 0.980785280 0.195090322 0.000000000 1
-1361.544197770 -909.754747530 -267.375000000 0.831469612 0.555570233 0.000000000 1
-909.754747530 -1361.544197770 -267.375000000 0.555570233 0.831469612 0.000000000 1
-319.463383930 -1606.050886330 -267.375000000 0.195090322 0.980785280 0.000000000 1
319.463383930 -1606.050886330 -267.375000000 -0.195090322 0.980785280 0.000000000 1
909.754747530 -1361.544197770 -267.375000000 -0.555570233 0.831469612 0.000000000 1
1361.544197770 -909.754747530 -267.375000000 -0.831469612 0.555570233 0.000000000 1
1606.050886330 -319.463383930 -267.375000000 -0.980785280 0.195090322 0.000000000 1
1606.050886330 319.463383930 267.375000000 -0.980785280 -0.195090322 0.000000000 1
1361.544197770 909.754747530 267.375000000 -0.831469612 -0.555570233 0.000000000 1
909.754747530 1361.544197770 267.375000000 -0.555570233 -0.831469612 0.000000000 1
319.463383930 1606.050886330 267.375000000 -0.195090322 -0.980785280 0.000000000 1
-319.463383930 1606.050886330 267.375000000 0.195090322 -0.980785280 0.000000000 1
-909.754747530 1361.544197770 267.375000000 0.555570233 -0.831469612 0.000000000 1
-1361.544197770 909.754747530 267.375000000 0.831469612 -0.555570233 0.000000000 1
-1606.050886330 319.463383930 267.375000000 0.980785280 -0.195090322 0.000000000 1
-1606.050886330 -319.463383930 267.375000000 0.980785280 0.195090322 0.000000000 1
-1361.544197770 -909.754747530 267.375000000 0.831469612 0.555570233 0.000000000 1
-909.754747530 -1361.544197770 267.375000000 0.555570233 0.831469612 0.000000000 1
-319.463383930 -1606.050886330 267.375000000 0.195090322 0.980785280 0.000000000 1
319.463383930 -1606.050886330 267.375000000 -0.195090322 0.980785280 0.000000000 1
909.754747530 -1361.544197770 267.375000000 -0.555570233 0.831469612 0.000000000 1
1361.544197770 -909.754747530 267.375000000 -0.831469612 0.555570233 0.000000000 1
1606.050886330 -319.463383930 267.375000000 -0.980785280 0.195090322 0.000000000 1
-1160.000000000 -580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-1160.000000000 0.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-1160.000000000 580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-580.000000000 -1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-580.000000000 -580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-580.000000000 0.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-580.000000000 580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-580.000000000 1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-0.000000000 -1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-0.000000000 -580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-0.000000000 0.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-0.000000000 580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
-0.000000000 1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
580.000000000 -1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
580.000000000 -580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
580.000000000 0.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
580.000000000 580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
580.000000000 1160.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
1160.000000000 -580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
1160.000000000 0.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
1160.000000000 580.000000000 1286.515283330 -0.000000000 -0.000000000 -1.000000000 1
1606.050886330 319.463383930 802.125000000 -0.980785280 -0.195090322 0.000000000 1
1361.544197770 909.754747530 802.125000000 -0.831469612 -0.555570233 0.000000000 1
909.754747530 1361.544197770 802.125000000 -0.555570233 -0.831469612 0.000000000 1
319.463383930 1606.050886330 802.125000000 -0.195090322 -0.980785280 0.000000000 1
-319.463383930 1606.050886330 802.125000000 0.195090322 -0.980785280 0.000000000 1
-909.754747530 1361.544197770 802.125000000 0.555570233 -0.831469612 0.000000000 1
-1361.544197770 909.754747530 802.125000000 0.831469612 -0.555570233 0.000000000 1
-1606.050886330 319.463383930 802.125000000 0.980785280 -0.195090322 0.000000000 1
-1606.050886330 -319.463383930 802.125000000 0.980785280 0.195090322 0.000000000 1
-1361.544197770 -909.754747530 802.125000000 0.831469612 0.555570233 0.000000000 1
-909.754747530 -1361.544197770 802.125000000 0.555570233 0.831469612 0.000000000 1
-319.463383930 -1606.050886330 802.125000000 0.195090322 0.980785280 0.000000000 1
319.463383930 -1606.050886330 802.125000000 -0.195090322 0.980785280 0.000000000 1
909.754747530 -1361.544197770 802.125000000 -0.555570233 0.831469612 0.000000000 1
1361.544197770 -909.754747530 802.125000000 -0.831469612 0.555570233 0.000000000 1
1606.050886330 -319.463383930 802.125000000 -0.980785280 0.195090322 0.000000000 1
-1160.000000000 -580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-1160.000000000 -0.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-1160.000000000 580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-580.000000000 -1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-580.000000000 -580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-580.000000000 -0.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-580.000000000 580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
-580.000000000 1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
0.000000000 -1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
0.000000000 -580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
0.000000000 -0.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
0.000000000 580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
0.000000000 1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
580.000000000 -1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
580.000000000 -580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
580.000000000 -0.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
580.000000000 580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
580.000000000 1160.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
1160.000000000 -580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
1160.000000000 -0.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
1160.000000000 580.000000000 -1286.515283330 0.000000000 0.000000000 1.000000000 1
1606.050886330 319.463383930 -802.125000000 -0.980785280 -0.195090322 0.000000000 1
1361.544197770 909.754747530 -802.125000000 -0.831469612 -0.555570233 0.000000000 1
909.754747530 1361.544197770 -802.125000000 -0.555570233 -0.831469612 0.000000000 1
319.463383930 1606.050886330 -802.125000000 -0.195090322 -0.980785280 0.000000000 1
-319.463383930 1606.050886330 -802.125000000 0.195090322 -0.980785280 0.000000000 1
-909.754747530 1361.544197770 -802.125000000 0.555570233 -0.831469612 0.000000000 1
-1361.544197770 909.754747530 -802.125000000 0.831469612 -0.555570233 0.000000000 1
-1606.050886330 319.463383930 -802.125000000 0.980785280 -0.195090322 0.000000000 1
-1606.050886330 -319.463383930 -802.125000000 0.980785280 0.195090322 0.000000000 1
-1361.544197770 -909.754747530 -802.125000000 0.831469612 0.555570233 0.000000000 1
-909.754747530 -1361.544197770 -802.125000000 0.555570233 0.831469612 0.000000000 1
-319.463383930 -1606.050886330 -802.125000000 0.195090322 0.980785280 0.000000000 1
319.463383930 -1606.050886330 -802.125000000 -0.195090322 0.980785280 0.000000000 1
